page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
3,0,5,ACCEPTED,7,OK,24-066,RFP,Orthoimagery/LiDAR Acquisition Project,14-Mar-24,Tetra Tech Canada Inc.,NA,No,'24-066'
3,0,7,ACCEPTED,7,OK,23-214,RFP,Odour Monitoring and Assessment Services at Wastewater Treatment Plants,15-Mar-24,GHD Ltd.,NA,No,'23-214'
3,0,8,ACCEPTED,7,OK,23-214,RFP,Odour Monitoring and Assessment Services at Wastewater Treatment Plants,15-Mar-24,Envirochem Services Inc.,NA,No,'23-214'
3,0,9,ACCEPTED,7,OK,23-214,RFP,Odour Monitoring and Assessment Services at Wastewater Treatment Plants,15-Mar-24,BioMaxx Waste Water Solutions (NL) Inc.,NA,No,'23-214'
3,0,10,ACCEPTED,7,OK,23-214,RFP,Odour Monitoring and Assessment Services at Wastewater Treatment Plants,15-Mar-24,DAY Mottech Inc.,NA,No,'23-214'
3,0,11,ACCEPTED,7,OK,23-214,RFP,Odour Monitoring and Assessment Services at Wastewater Treatment Plants,15-Mar-24,Triton Environmental Consultants,NA,No,'23-214'
3,0,13,ACCEPTED,7,OK,23-425,RFP,Supply and Delivery of Electric Vehicle Kiosks,19-Mar-24,KJ Controls Ltd.,NA,No,'23-425'
3,0,14,ACCEPTED,7,OK,23-425,RFP,Supply and Delivery of Electric Vehicle Kiosks,19-Mar-24,AC Dandy Products,NA,No,'23-425'
3,0,16,ACCEPTED,7,OK,23-378,ITT,Royal Avenue Pump Station Rehabilitation,21-Mar-24,Graham Infrastructure LP,NA,No,'23-378'
3,0,17,ACCEPTED,7,OK,23-378,ITT,Royal Avenue Pump Station Rehabilitation,21-Mar-24,North America Construction (1993) Ltd.,NA,No,'23-378'
3,0,27,ACCEPTED,7,OK,23-319,RFP,Supply and Delivery of Large Wheel Loader,11-Apr-24,Handlers Equipment Ltd.,NA,No,'23-319'
3,0,28,ACCEPTED,7,OK,23-319,RFP,Supply and Delivery of Large Wheel Loader,11-Apr-24,Liebherr- Canada Ltd.,NA,No,'23-319'
3,0,29,ACCEPTED,7,OK,23-319,RFP,Supply and Delivery of Large Wheel Loader,11-Apr-24,Great West Equipment,NA,No,'23-319'
3,0,30,ACCEPTED,7,OK,23-319,RFP,Supply and Delivery of Large Wheel Loader,11-Apr-24,Finning International Inc.,NA,No,'23-319'
3,0,31,ACCEPTED,7,OK,23-319,RFP,Supply and Delivery of Large Wheel Loader,11-Apr-24,Brandt Tractor Ltd.,NA,No,'23-319'
3,0,32,ACCEPTED,7,OK,23-319,RFP,Supply and Delivery of Large Wheel Loader,11-Apr-24,Wajax,NA,No,'23-319'
3,0,33,ACCEPTED,7,OK,23-319,RFP,Supply and Delivery of Large Wheel Loader,11-Apr-24,Inland Kenworth Ltd.,NA,No,'23-319'
3,0,35,ACCEPTED,7,OK,23-088,RFP,Supply and Delivery of Utility Tractors and Attachments,15-Apr-24,Rollins Machinery Ltd.,NA,No,'23-088'
3,0,36,ACCEPTED,7,OK,23-088,RFP,Supply and Delivery of Utility Tractors and Attachments,15-Apr-24,Prairie Coast Equipment Inc.,NA,No,'23-088'
3,0,37,ACCEPTED,7,OK,23-088,RFP,Supply and Delivery of Utility Tractors and Attachments,15-Apr-24,Brim Tractor Company,NA,No,'23-088'
4,0,1,ACCEPTED,7,OK,24-139,ITQ,Construction Services for the East Floc Influent Channel Concrete Repair at SCFP,16-Apr-24,Tritech Group Ltd.,NA,No,'24-139'
4,0,4,ACCEPTED,7,OK,23-270,RFP,Lulu Island WWTP Trickling Filter Refurbishment - Engineering Services,22-Apr-24,WSP Canada Inc.,NA,No,'23-270'
4,0,11,ACCEPTED,7,OK,23-389,RFQ,Water Main Condition Assessments for Marine Crossings,26-Apr-24,Pipeline Inspection and Condition Analysis Corp. (PICA),NA,No,'23-389'
4,0,12,ACCEPTED,7,OK,23-389,RFQ,Water Main Condition Assessments for Marine Crossings,26-Apr-24,F-MARQS,NA,No,'23-389'
4,0,14,ACCEPTED,7,OK,23-422,RFP-MA,Consulting Engineering Services for Delta Nature Reserve Boardwalk Replacement,29-Apr-24,Parsons Inc.,NA,No,'23-422'
4,0,18,ACCEPTED,7,OK,24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,6893449 Canada Inc.,NA,No,'24-053'
4,0,19,ACCEPTED,7,OK,24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,ESMIA Consultants Inc.,NA,No,'24-053'
4,0,20,ACCEPTED,7,OK,24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,Weaver Technical Corp.,NA,No,'24-053'
4,0,21,ACCEPTED,7,OK,24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,Hatch Ltd.,NA,No,'24-053'
4,0,22,ACCEPTED,7,OK,24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,Green PI Inc.,NA,No,'24-053'
4,0,24,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Centra Construction Group Ltd.,NA,No,'23-411'
4,0,25,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,New City Contracting Ltd.,NA,No,'23-411'
4,0,26,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,RJS Construction Ltd.,NA,No,'23-411'
4,0,27,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Pro-Can Construction Group Corp.,NA,No,'23-411'
4,0,28,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Roma Building Restoration Ltd.,NA,No,'23-411'
4,0,29,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,All Round Home Improvements & Restorations Ltd.,NA,No,'23-411'
4,0,30,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Eggert Projects Ltd.,NA,No,'23-411'
4,0,31,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Prostar Contracting,NA,No,'23-411'
4,0,32,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Dura Seal Ltd.,NA,No,'23-411'
4,0,35,ACCEPTED,7,OK,24-007,RFP,Nuisance Mosquito Control Program for Metro Vancouver and Participating Municipalities,15-May-24,Duka Environmental Services Ltd.,NA,No,'24-007'
4,0,39,ACCEPTED,7,OK,22-426,RFP,Construction of the Grandview Pump Station Improvements Project,29-May-24,North America Construction (1993) Ltd.,NA,No,'22-426'
5,0,1,ACCEPTED,7,OK,22-426,RFP,Construction of the Grandview Pump Station Improvements Project,29-May-24,Tritech Group Ltd.,NA,No,'22-426'
5,0,4,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Cedar Crest Lands (B.C.) Ltd.,NA,No,'24-017'
5,0,5,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Lafarge Canada Inc.,NA,No,'24-017'
5,0,6,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,MAREX Constructors Ltd.,NA,No,'24-017'
5,0,7,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,New Rhodes Construction Inc.,NA,No,'24-017'
5,0,8,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Double M Excavating Ltd.,NA,No,'24-017'
5,0,9,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Poschner Construction (88) Ltd.,NA,No,'24-017'
5,0,10,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Howard Wilson Construction Ltd.,NA,No,'24-017'
5,0,11,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,GPM Civil Contracting Inc.,NA,No,'24-017'
