competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,QCA Systems Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,CIMA Canada Inc.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Stantec Consulting Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,AECOM Canada Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Kontzamanis Graumann Smith MacMillan Inc.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Associated Engineering (B.C.) Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Klohn Crippen Berger Ltd.,NA,No
24-122,RFP,Manor House - Design Consulting Services for Interior and Exterior Upgrade,16-Jun-24,SR Engineering Ltd.,"$126,679",Yes
24-122,RFP,Manor House - Design Consulting Services for Interior and Exterior Upgrade,16-Jun-24,EXP Services Inc.,NA,No
24-122,RFP,Manor House - Design Consulting Services for Interior and Exterior Upgrade,16-Jun-24,Francl Architecture Inc.,NA,No
23-419,RFP,Customer Surveys Program,17-Jun-24,Dillon Consulting Ltd.,"$361,086",Yes
23-419,RFP,Customer Surveys Program,17-Jun-24,PRA Inc.,NA,No
23-419,RFP,Customer Surveys Program,17-Jun-24,Leger Marketing Alberta Inc.,NA,No
23-419,RFP,Customer Surveys Program,17-Jun-24,Customer Service Professionals Network Inc.,NA,No
23-419,RFP,Customer Surveys Program,17-Jun-24,Justason Market Intelligence Inc.,NA,No
23-266,RFP,Iona Island Wastewater Treatment Plant I/O Upgrade Project,19-Jun-24,enCompass Solutions Group,"$316,924",Yes
23-266,RFP,Iona Island Wastewater Treatment Plant I/O Upgrade Project,19-Jun-24,J A Electric Inc.,NA,No
24-215,SS/NOIC,UPS Batteries Replacement Service at Seymour Capilano Filtration Plant (SCFP),20-Jun-24,Arbutus West Agency Ltd.,"$96,245",Yes
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,Signia Construction Ltd.,"$6,762,920",Yes
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,MetroVan Construction Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,Roma Building Restoration Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,New City Contracting Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,RJS Construction Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,Eggert Projects Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,All Round Home Improvements & Restorations Ltd.,NA,No
24-046,Co-Operative Procurement,Supply and Delivery of Canoe Services -New Xerox Equipment,13-Feb-24,Xerox Canada Ltd.,"$1,234,018",Yes
24-046,Co-Operative Procurement,Supply and Delivery of Portable Scanning Kiosk,21-Jun-24,CDW Canada Corporation,"$64,032",Yes
24-046,Co-Operative Procurement,Supply and Delivery of Motor Grader for the Watershed and Environmental Management Division,24-Jun-24,Finning International Inc.,"$587,200",Yes
24-046,Co-Operative Procurement,Supply and Delivery of Motor Grader for the Watershed and Environmental Management Division,24-Jun-24,Brandt Tractor Ltd. (John Deere Construction Retail Sales),NA,No
