competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded
24-471,ITQ,"Widgeon Marsh Regional Park, Quarry Road Paving",1-Nov-24,Winvan Paving Ltd.,"$199,989",Yes
24-471,ITQ,"Widgeon Marsh Regional Park, Quarry Road Paving",1-Nov-24,Palmieri Bros Paving Ltd.,NA,No
24-471,ITQ,"Widgeon Marsh Regional Park, Quarry Road Paving",1-Nov-24,Custom Blacktop Co.,NA,No
24-512,SS/NOIC,"Permanent Road Restorations after Water Main Leak Repairs at West Side of Arbutus Street and South of W 16th Ave, Vancouver",1-Nov-24,Palmieri Bros Paving Ltd.,"$99,630",Yes
24-170,ITT,Evergreen Parkade Ceiling Insulation Replacement,1-Nov-24,Performance Spray Insulation Ltd.,"$75,070",Yes
24-170,ITT,Evergreen Parkade Ceiling Insulation Replacement,1-Nov-24,Peak Insulation Ltd.,NA,No
24-170,ITT,Evergreen Parkade Ceiling Insulation Replacement,1-Nov-24,Ener-Spray Pacific Ltd.,NA,No
24-170,ITT,Evergreen Parkade Ceiling Insulation Replacement,1-Nov-24,Geer Contracting Ltd.,NA,No
24-446,SS/NOIC,Consortium to Optimize Electrical Service Capacities,1-Nov-24,Dunsky Energy + Climate Advisors / 6893449 Canada Inc.,"$75,000",Yes
24-047,RFP,Stanley Park Water Supply Tunnel - Environmental Auditor Services,4-Nov-24,GHD Ltd.,"$1,412,728",Yes
24-047,RFP,Stanley Park Water Supply Tunnel - Environmental Auditor Services,4-Nov-24,EMM Consulting Pty Ltd.,NA,No
24-047,RFP,Stanley Park Water Supply Tunnel - Environmental Auditor Services,4-Nov-24,Zoetica Wildlife Research Services Inc.,NA,No
24-047,RFP,Stanley Park Water Supply Tunnel - Environmental Auditor Services,4-Nov-24,Inlailawatash Limited Partnership,NA,No
24-047,RFP,Stanley Park Water Supply Tunnel - Environmental Auditor Services,4-Nov-24,Roe Environmental Inc.,NA,No
24-047,RFP,Stanley Park Water Supply Tunnel - Environmental Auditor Services,4-Nov-24,Hatfield Consultants LLP,NA,No
24-047,RFP,Stanley Park Water Supply Tunnel - Environmental Auditor Services,4-Nov-24,AtkinsRéalis Canada Inc.,NA,No
24-251,RFP,Lynn Creek Bridge Crossing and Entrance Area at Lynn Headwaters Regional Park - Phase 1,6-Nov-24,Mott MacDonald Canada Ltd.,"$298,499",Yes
24-251,RFP,Lynn Creek Bridge Crossing and Entrance Area at Lynn Headwaters Regional Park - Phase 1,6-Nov-24,Stantec Consulting Ltd.,NA,No
24-251,RFP,Lynn Creek Bridge Crossing and Entrance Area at Lynn Headwaters Regional Park - Phase 1,6-Nov-24,Parsons Inc.,NA,No
24-251,RFP,Lynn Creek Bridge Crossing and Entrance Area at Lynn Headwaters Regional Park - Phase 1,6-Nov-24,AECOM Canada Ltd.,NA,No
24-251,RFP,Lynn Creek Bridge Crossing and Entrance Area at Lynn Headwaters Regional Park - Phase 1,6-Nov-24,Associated Engineering (B.C.) Ltd.,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Deetken Enterprises Inc.,"$91,690",Yes
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Angus Reid Group Inc.,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Deloitte LLP,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Environics Research Group Ltd.,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,HumanSystems Inc.,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,MNP LLP,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,SoIuZone Consulting Inc.,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Spur Communications Inc.,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,WeUsThem Inc.,NA,No
24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Adrian Brown Group Inc.,NA,No
24-530,SS/NOIC,LinkedIn Job Posting and Related Services For Metro Vancouver,14-Nov-24,Linkedin Corp.,"$203,265",Yes
24-004,RFP,Reduction of Emissions from In-Service Medium and Heavy Duty Vehicles in British Columbia,14-Nov-24,Ramboll Canada Inc.,"$145,950",Yes
24-004,RFP,Reduction of Emissions from In-Service Medium and Heavy Duty Vehicles in British Columbia,14-Nov-24,Cascadia Strategy Consulting Partners Ltd.,NA,No
24-004,RFP,Reduction of Emissions from In-Service Medium and Heavy Duty Vehicles in British Columbia,14-Nov-24,Deloitte LLP,NA,No
24-004,RFP,Reduction of Emissions from In-Service Medium and Heavy Duty Vehicles in British Columbia,14-Nov-24,MNP LLP,NA,No
23-404,RFP,Supply and Delivery of Standby Diesel Generators for Iona Island Wastewater Treatmnet Plant,18-Nov-24,Finning International Inc.,"$14,052,914",Yes
23-404,RFP,Supply and Delivery of Standby Diesel Generators for Iona Island Wastewater Treatmnet Plant,18-Nov-24,Simson-Maxwell Ltd.,NA,No
23-404,RFP,Supply and Delivery of Standby Diesel Generators for Iona Island Wastewater Treatmnet Plant,18-Nov-24,Prima Power Systems,NA,No
23-404,RFP,Supply and Delivery of Standby Diesel Generators for Iona Island Wastewater Treatmnet Plant,18-Nov-24,GAL Power Systems,NA,No
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,ClearSky Risk Management Inc.,"$1,500,000",Yes
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,PMO Global Services,,Yes
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,AtkinsRéalis Canada Inc.,,Yes
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,Major Industrial E-Risk Services Inc.,,Yes
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,"Baker Engineering and Risk Consultants, Inc.",,Yes
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,AECOM Canada Ltd.,NA,No
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,Astra Zeidan Inc.,NA,No
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,Allnorth Consultants Ltd.,NA,No
24-117,RFP-MA,Process Safety Management Consulting Services,18-Nov-24,WSP Canada Inc.,NA,No
24-102,RFP,Senior Commercial and Project Management Advisory Services,19-Nov-24,Project Talent Acquisition Group Inc.,"$1,012,000",Yes
24-102,RFP,Senior Commercial and Project Management Advisory Services,19-Nov-24,PMA Project Controls Canada ULC,"$872,160",Yes
24-102,RFP,Senior Commercial and Project Management Advisory Services,26-Nov-24,Revay and Associates Ltd.,"$562,304",Yes
24-143,RFSO,"Temporary Flow, Level and Rainfall Monitoring Services",18-Nov-24,Kerr Wood Leidal Associates Ltd.,"$3,000,000",Yes
24-143,RFSO,"Temporary Flow, Level and Rainfall Monitoring Services",18-Nov-24,ADS Environmental Technologies,,Yes
24-102,RFP,Senior Commercial and Project Management Advisory Services,19-Nov-24,Turner and Townsend Canada Inc.,"$548,320",Yes
24-403,RFP,Condition Assessments for Kersland Pump Station and Little Mountain Pump Station,19-Nov-24,Tetra Tech Canada Inc.,"$219,949",Yes
24-403,RFP,Condition Assessments for Kersland Pump Station and Little Mountain Pump Station,19-Nov-24,Ausenco Engineering Canada Inc.,NA,No
24-479,SS/NOIC,"Particulate Matter Monitors, Teledyne Model T640, for Air Quality Monitoring Network",20-Nov-24,J.C. Andelle Inc.,"$125,976",Yes
24-074,RFP,Consulting Services for the Assessment of Facility Management Services,21-Nov-24,Colliers Project Leaders Inc.,"$170,335",Yes
24-074,RFP,Consulting Services for the Assessment of Facility Management Services Coquitlam Lake Water Supply Projects – Program Management and,21-Nov-24,Roth IAMS Ltd.,NA,No
24-006B,RFP,Consulting Engineering Services. Component 2(B) : Program Management aCnodq uCiotlnasmu lLtiankge EWngaitneere Sruinpgp Slye Prvriocjeesc tfso r– C Porqougritalamm M Maaniang Nemo.e 4n Pt raonjde ct,21-Nov-24,CIMA Canada Inc.,"$17,424,401",Yes
24-006B,RFP,Consulting Engineering Services. Component 2(B) : Program Management aCnodq uCiotlnasmu lLtiankge EWngaitneere Sruinpgp Slye Prvriocjeesc tfso r– C Porqougritalamm M Maaniang Nemo.e 4n Pt raonjde ct,21-Nov-24,Carollo Engineers Canada Ltd.,NA,No
24-006A,RFP,Consulting Engineering Services. Component 1 (A): Program Management SCeorqvuicitelas man Lda Ckeo nWsualtteinr gS uEpnpgilny ePerroijnegc tSse –rv Picreosg rfaomr t hMea Tnraegaetmmeenntt Panilodt Testing,27-Nov-24,Jacobs Consultancy Canada Inc.,"$74,512,561",Yes
24-006A,RFP,Consulting Engineering Services. Component 1 (A): Program Management Services and Consulting Engineering Services for the Treatment Pilot Testing,27-Nov-24,Carollo Engineers Canada Ltd.,NA,No
23-065,RFP,Supply and Installation of Jervis PS Backup Power Facility and Associated Work,22-Nov-24,Tritech Group Ltd.,"$4,087,190",Yes
23-065,RFP,Supply and Installation of Jervis PS Backup Power Facility and Associated Work,22-Nov-24,North America Construction (1993) Ltd.,NA,No
23-065,RFP,Supply and Installation of Jervis PS Backup Power Facility and Associated Work,22-Nov-24,Regehr Contracting Ltd.,NA,No
24-449,RFP,Seymour Falls Dam Rockfill Trench Piezometer Installation,27-Nov-24,ConeTec Investigations Ltd.,"$171,089",Yes
24-449,RFP,Seymour Falls Dam Rockfill Trench Piezometer Installation,27-Nov-24,Blue Max Drilling Inc.,NA,No
24-132,RFP-MA,Engineering Services for Fugitive Emissions Monitoring Plan and Implementati,1-Dec-24,Jacobs Consultancy Canada Inc.,"$2,000,000.00",Yes
24-132,RFP-MA,Engineering Services for Fugitive Emissions Monitoring Plan and Implementati,1-Dec-24,Brown and Caldwell,,Yes
24-181,RFP-MA,Engineering / Architectural Services,1-Dec-24,Entuitive Corp.,"$2,000,000.00",Yes
24-181,RFP-MA,Engineering / Architectural Services,1-Dec-24,MCW Consultants Ltd.,,Yes
24-181,RFP-MA,Engineering / Architectural Services,1-Dec-24,Omicron Canada Inc.,,Yes
24-181,RFP-MA,Engineering / Architectural Services,1-Dec-24,Sense Engineering Ltd.,,Yes
24-181,RFP-MA,Engineering / Architectural Services,1-Dec-24,SR Engineering Ltd.,,Yes
24-450,RFP,Wildfire Risk and Forest Health Management,2-Dec-24,Diamond Head Consulting Ltd.,"$105,580.00",Yes
24-450,RFP,Wildfire Risk and Forest Health Management,2-Dec-24,B.A Blackwell & Associates Ltd.,NA,No
24-085,RFP,Supply and Delivery of a Boiler for the Lulu Island WWTP Effluent Heat Recove,3-Dec-24,Prime Boiler Services Ltd.,"$305,946.00",Yes
24-085,RFP,Supply and Delivery of a Boiler for the Lulu Island WWTP Effluent Heat Recove,3-Dec-24,Emona Sales Ltd.,NA,No
24-441,SS/NOIC,Bio-Gas Booster Compressor - IIWWTP,3-Dec-24,National Compressed Air (NCA) Ltd.,"$108,097.00",Yes
23-252,RFP,Supply and Delivery of Industrial Compressed Gases - Liquid Oxygen and Carbon Dioxide,9-Dec-24,Linde Canada Inc.,"$3,889,000",Yes
23-252,RFP,Supply and Delivery of Industrial Compressed Gases - Liquid Oxygen and Carbon Dioxide,9-Dec-24,Air Liquide Canada,NA,No
24-262,RFP,Reducing Emissions from Low-Rise Buildings,9-Dec-24,Introba Canada Engineering LP,"$145,005",Yes
24-262,RFP,Reducing Emissions from Low-Rise Buildings,9-Dec-24,6893449 Canada Inc.,NA,No
24-262,RFP,Reducing Emissions from Low-Rise Buildings,9-Dec-24,Licker Geospatial Consulting Co.,NA,No
24-262,RFP,Reducing Emissions from Low-Rise Buildings,9-Dec-24,MCW Consultants Ltd.,NA,No
24-262,RFP,Reducing Emissions from Low-Rise Buildings,9-Dec-24,RDH Building Science Inc.,NA,No
24-497,ITQ,IIWWTP SE Lagoon Dewatering,10-Dec-24,Stormtec Water Management Inc.,"$158,650",Yes
24-497,ITQ,IIWWTP SE Lagoon Dewatering,10-Dec-24,Canadian Dewatering Fluid Management System,NA,No
24-497,ITQ,IIWWTP SE Lagoon Dewatering,10-Dec-24,American Process Group (Canada) Ltd.,NA,No
24-497,ITQ,IIWWTP SE Lagoon Dewatering,10-Dec-24,Concord Excavating & Contracting Ltd.,NA,No
24-183,RFP,Developing Mesoscale Prognostic Meteorological Data for Use in Air Quality Modelling,17-Dec-24,Weatherlogics Inc.,"$116,262",Yes
24-183,RFP,Developing Mesoscale Prognostic Meteorological Data for Use in Air Quality Modelling,17-Dec-24,Ramboll Canada Inc.,NA,No
24-183,RFP,Developing Mesoscale Prognostic Meteorological Data for Use in Air Quality Modelling,17-Dec-24,Lakes Environment Consultants Inc.,NA,No
24-264,ITT,Building Remedial Work - Tivoli Gardens,17-Dec-24,All Round Home Improvements & Restorations Ltd.,"$4,121,233",Yes
24-264,ITT,Building Remedial Work - Tivoli Gardens,17-Dec-24,Signia Construction Ltd.,NA,No
24-264,ITT,Building Remedial Work - Tivoli Gardens,17-Dec-24,New City Contracting Ltd.,NA,No
24-264,ITT,Building Remedial Work - Tivoli Gardens,17-Dec-24,RJS Construction Ltd.,NA,No
23-440,SS/NOIC,Supply and Delivery of Structural Steel for the North Shore WWTP,18-Dec-24,Canam Group Inc.,"$28,055,085",Yes
24-097,RFP,Supply and Delivery of E-House for Standby Power System for the Iona Island Wastewater Treatment Plant (IIWWTP) Projects - Early Works,19-Dec-24,RIC Power Corp.,"$497,500",Yes
24-097,RFP,Supply and Delivery of E-House for Standby Power System for the Iona Island Wastewater Treatment Plant (IIWWTP) Projects - Early Works,19-Dec-24,Uptime Industrial,NA,No
24-097,RFP,Supply and Delivery of E-House for Standby Power System for the Iona Island Wastewater Treatment Plant (IIWWTP) Projects - Early Works,19-Dec-24,Vanguard Power Ltd.,NA,No
24-097,RFP,Supply and Delivery of E-House for Standby Power System for the Iona Island Wastewater Treatment Plant (IIWWTP) Projects - Early Works,19-Dec-24,Arbutus West Agency Ltd.,NA,No
24-097,RFP,Supply and Delivery of E-House for Standby Power System for the Iona Island Wastewater Treatment Plant (IIWWTP) Projects - Early Works,19-Dec-24,Finning Canada,NA,No
24-097,RFP,Supply and Delivery of E-House for Standby Power System for the Iona Island Wastewater Treatment Plant (IIWWTP) Projects - Early Works,19-Dec-24,Tundra Process Solutions Ltd.,NA,No
24-384,ITT,Construcion Services for Primary Odour Control Biofilter Media Replacement,19-Dec-24,Sancat Excavating Ltd.,"$92,071",Yes
24-384,ITT,Construcion Services for Primary Odour Control Biofilter Media Replacement,19-Dec-24,Rsavage Contracting,NA,No
24-554,SS/NOIC,Supply and Install Prefabricated Boardwalk System at Tynehead Regional Park,20-Dec-24,Habitat Systems Inc.,"$149,896",Yes
24-246,SS/NOIC,Supply and Delivery of Material for The North Shore Wastewater Treatment Plant - Priming Solids Handling Pumps,20-Dec-24,Wilo Canada Inc.,"$204,414",Yes
24-331,SS/NOIC,Supply and Delivery of Material for The North Shore Wastewater Treatment Plant - Fine & Coarse Bubble Diffusers,20-Dec-24,"Environmental Dynamics International, Inc.","$1,407,625",Yes
