vendor_name_key,vendor_name,variant_count,vendor_name_display,merge_confidence,merge_notes,variants_pipe
allnorth consultants,"['Allnorth Consultants Limited', 'Allnorth Consultants Ltd.']",2,,,,Allnorth Consultants Limited | Allnorth Consultants Ltd.
univar canada,"['UNIVAR CANADA LTD', 'Univar Canada']",2,,,,UNIVAR CANADA LTD | Univar Canada
all round home improvements restorations,"['ALL ROUND HOME IMPROVEMENTS & RESTORATIONS LTD', 'All Round Home Improvements & Restorations Ltd.']",2,,,,ALL ROUND HOME IMPROVEMENTS & RESTORATIONS LTD | All Round Home Improvements & Restorations Ltd.
all roads construction,"['ALL ROADS CONSTRUCTION LTD', 'All Roads Construction Ltd.']",2,,,,ALL ROADS CONSTRUCTION LTD | All Roads Construction Ltd.
kpmg,"['KPMG', 'KPMG LLP']",2,,,,KPMG | KPMG LLP
united rental of canada,"['United Rental of Canada Inc.', 'United Rental of Canada, Inc.']",2,,,,"United Rental of Canada Inc. | United Rental of Canada, Inc."
revelstoke design services,"['Revelstoke Design Services', 'Revelstoke Design Services Ltd.']",2,,,,Revelstoke Design Services | Revelstoke Design Services Ltd.
ainsworth,"['Ainsworth', 'Ainsworth Inc']",2,,,,Ainsworth | Ainsworth Inc
tybo contracting,"['Tybo Contracting Ltd', 'Tybo Contracting Ltd.']",2,,,,Tybo Contracting Ltd | Tybo Contracting Ltd.
klohn crippen berger,"['KLOHN CRIPPEN BERGER LTD', 'Klohn Crippen Berger Ltd.']",2,,,,KLOHN CRIPPEN BERGER LTD | Klohn Crippen Berger Ltd.
agilent technologies canada,"['AGILENT TECHNOLOGIES CANADA INC.', 'Agilent Technologies Canada, Inc.']",2,,,,"AGILENT TECHNOLOGIES CANADA INC. | Agilent Technologies Canada, Inc."
kinetic construction,"['KINETIC CONSTRUCTION LTD.', 'Kinetic Construction Ltd.']",2,,,,KINETIC CONSTRUCTION LTD. | Kinetic Construction Ltd.
triex contracting,"['TRIEX CONTRACTING LTD', 'Triex Contracting Ltd.']",2,,,,TRIEX CONTRACTING LTD | Triex Contracting Ltd.
reshape infrastructure strategies,"['Reshape Infrastructure Strategies', 'Reshape Infrastructure Strategies Ltd.']",2,,,,Reshape Infrastructure Strategies | Reshape Infrastructure Strategies Ltd.
total dynamic services,"['TOTAL DYNAMIC SERVICES LTD.', 'Total Dynamic Services Ltd']",2,,,,TOTAL DYNAMIC SERVICES LTD. | Total Dynamic Services Ltd
advanced systems roofing waterproofing,"['ADVANCED SYSTEMS ROOFING & WATERPROOFING LTD.', 'Advanced Systems Roofing & Waterproofing Ltd.']",2,,,,ADVANCED SYSTEMS ROOFING & WATERPROOFING LTD. | Advanced Systems Roofing & Waterproofing Ltd.
zoetica wildlife research services,"['Zoetica Wildlife Research Services Inc.', 'Zoetica Wildlife Research Services Limited']",2,,,,Zoetica Wildlife Research Services Inc. | Zoetica Wildlife Research Services Limited
tetra tech canada,"['Tetra Tech Canada Inc', 'Tetra Tech Canada Inc.']",2,,,,Tetra Tech Canada Inc | Tetra Tech Canada Inc.
zayo canada,"['ZAYO CANADA INC.', 'Zayo Canada Inc']",2,,,,ZAYO CANADA INC. | Zayo Canada Inc
teema solutions group,"['TEEMA SOLUTIONS GROUP', 'TEEMA Solutions Group']",2,,,,TEEMA SOLUTIONS GROUP | TEEMA Solutions Group
xerox canada,"['Xerox Canada', 'Xerox Canada Ltd.']",2,,,,Xerox Canada | Xerox Canada Ltd.
wsp e i canada,"['WSP E&I Canada Limited', 'WSP E&I Canada Ltd']",2,,,,WSP E&I Canada Limited | WSP E&I Canada Ltd
sylvis environmental services,"['SYLVIS ENVIRONMENTAL SERVICES INC.', 'SYLVIS Environmental Services Inc.']",2,,,,SYLVIS ENVIRONMENTAL SERVICES INC. | SYLVIS Environmental Services Inc.
43k wilderness solutions,"['43K Wilderness Solutions', '43K Wilderness solutions']",2,,,,43K Wilderness Solutions | 43K Wilderness solutions
kbl projects,"['KBL PROJECTS LTD', 'KBL Projects Ltd.']",2,,,,KBL PROJECTS LTD | KBL Projects Ltd.
kemira water solutions canada,"['KEMIRA WATER SOLUTIONS CANADA INC.', 'KEMIRA WATER SOLUTIONS CANADA, INC.']",2,,,,"KEMIRA WATER SOLUTIONS CANADA INC. | KEMIRA WATER SOLUTIONS CANADA, INC."
justason market intelligence,"['Justason Market Intelligence', 'Justason Market Intelligence Inc.']",2,,,,Justason Market Intelligence | Justason Market Intelligence Inc.
regehr contracting,"['Regehr Contracting Ltd', 'Regehr Contracting Ltd.']",2,,,,Regehr Contracting Ltd | Regehr Contracting Ltd.
jjm construction,"['JJM Construction Ltd', 'JJM Construction Ltd.']",2,,,,JJM Construction Ltd | JJM Construction Ltd.
read jones christoffersen,"['Read Jones Christoffersen Ltd', 'Read Jones Christoffersen Ltd.']",2,,,,Read Jones Christoffersen Ltd | Read Jones Christoffersen Ltd.
jc andelle,"['J.C. ANDELLE INC', 'J.C. Andelle Inc.']",2,,,,J.C. ANDELLE INC | J.C. Andelle Inc.
jacobs consultancy canada jacobs,"['Jacobs Consultancy Canada Inc. (Jacobs)', 'Jacobs Consultancy Canada, Inc. (Jacobs)']",2,,,,"Jacobs Consultancy Canada Inc. (Jacobs) | Jacobs Consultancy Canada, Inc. (Jacobs)"
rdh building science,"['RDH BUILDING SCIENCE INC.', 'RDH Building Science Inc.']",2,,,,RDH BUILDING SCIENCE INC. | RDH Building Science Inc.
jacobs consultancy canada,"['Jacobs Consultancy Canada Inc', 'Jacobs Consultancy Canada Inc.']",2,,,,Jacobs Consultancy Canada Inc | Jacobs Consultancy Canada Inc.
jacob bros construction,"['JACOB BROS. CONSTRUCTION INC.', 'Jacob Bros. Construction Inc.']",2,,,,JACOB BROS. CONSTRUCTION INC. | Jacob Bros. Construction Inc.
rare earth recreational developments,"['Rare Earth Recreational Developments Inc', 'Rare Earth Recreational Developments Inc.']",2,,,,Rare Earth Recreational Developments Inc | Rare Earth Recreational Developments Inc.
isl engineering land services,"['ISL Engineering & Land Services', 'ISL Engineering & Land Services Ltd.']",2,,,,ISL Engineering & Land Services | ISL Engineering & Land Services Ltd.
isl engineering and land services,"['ISL Engineering and Land Services Ltd', 'ISL Engineering and Land Services Ltd.']",2,,,,ISL Engineering and Land Services Ltd | ISL Engineering and Land Services Ltd.
ram mechanical,"['RAM MECHANICAL', 'Ram Mechanical Ltd.']",2,,,,RAM MECHANICAL | Ram Mechanical Ltd.
intergraph canada,"['INTERGRAPH CANADA ULC', 'Intergraph Canada LLC']",2,,,,INTERGRAPH CANADA ULC | Intergraph Canada LLC
