competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded,source_year,amount_missing,is_awarded_flag,amount_scope,group_award_flag,financial_kpi_eligible,awarded_amount_numeric,competition_type_standardized,vendor_name_clean
23-288,SS/NOIC,Cleveland Dam Upper Outlet Slide Gates & Conduit Inspection,2023-08-01,Klohn Crippen Berger Ltd.,"$ 97,990.00",Yes,2023,False,True,vendor_specific,False,True,97990.0,SS/NOIC,Klohn Crippen Berger Ltd.
22-310,ITT,"Supply, Delivery and Installation of a Genset at Chilco Pump Station",2023-08-02,Regehr Contracting Ltd.,"$ 693,000.00",Yes,2023,False,True,vendor_specific,False,True,693000.0,ITT,Regehr Contracting Ltd.
22-439,RFP,"Prime Consulting for Geotechnical, Environmental and Other Engineering Services for Central Park Main No. 2 – 10th Avenue to Westburnco",2023-08-02,Tetra Tech,"$ 985,342.00",Yes,2023,False,True,vendor_specific,False,True,985342.0,RFP,Tetra Tech
22-439,RFP,"Prime Consulting for Geotechnical, Environmental and Other Engineering Services for Central Park Main No. 2 – 10th Avenue to Westburnco",2023-08-02,WSP Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,WSP Canada Inc.
23-100,ITT,Capilano Raw Water Pump Station and Westburnco Pump Station Temporary Back Up Power,2023-08-02,NAC Constructors Ltd.,"$ 10,749,738.00",Yes,2023,False,True,vendor_specific,False,True,10749738.0,ITT,NAC Constructors Ltd.
23-100,ITT,Capilano Raw Water Pump Station and Westburnco Pump Station Temporary Back Up Power,2023-08-02,Bennett Mechanical Installations (2001) Ltd,,No,2023,True,False,not_awarded,False,False,,ITT,Bennett Mechanical Installations (2001) Ltd
23-100,ITT,Capilano Raw Water Pump Station and Westburnco Pump Station Temporary Back Up Power,2023-08-02,Tritech Group Ltd.,,No,2023,True,False,not_awarded,False,False,,ITT,Tritech Group Ltd.
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,ITBlueprint Solutions Inc.,"$ 115,634.50",Yes,2023,False,True,vendor_specific,False,True,115634.5,RFP,ITBlueprint Solutions Inc.
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,IOSecure,,No,2023,True,False,not_awarded,False,False,,RFP,IOSecure
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,Turning Point,,No,2023,True,False,not_awarded,False,False,,RFP,Turning Point
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,GlassHouse Systems Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,GlassHouse Systems Inc.
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,Siemens Canada Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,Siemens Canada Ltd.
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,KLOUDIFIED INTERNET SERVICES INC.,,No,2023,True,False,not_awarded,False,False,,RFP,KLOUDIFIED INTERNET SERVICES INC.
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,Ignite Alliance Corp. dba Ignite Technology,,No,2023,True,False,not_awarded,False,False,,RFP,Ignite Alliance Corp. dba Ignite Technology
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,L42 Solutions Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,L42 Solutions Ltd.
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,CDW Canada Corp.,,No,2023,True,False,not_awarded,False,False,,RFP,CDW Canada Corp.
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,"Electrep, Inc.",,No,2023,True,False,not_awarded,False,False,,RFP,"Electrep, Inc."
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,Manufacturers Automation Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,Manufacturers Automation Inc.
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,Clutch Solutions CA Inc,,No,2023,True,False,not_awarded,False,False,,RFP,Clutch Solutions CA Inc
23-062,RFP,Supply and Delivery of Network Switches,2023-08-03,X10 NETWORKS,,No,2023,True,False,not_awarded,False,False,,RFP,X10 NETWORKS
23-148,RFP,Rental of Centrifuge Equipment for the Hydrothermal Liquefaction (HTL) Plant at Annacis Island Wastewater Treatment Plant (AIWWTP),2023-08-03,Archer Separation Inc.,"$ 201,582.00",Yes,2023,False,True,vendor_specific,False,True,201582.0,RFP,Archer Separation Inc.
23-148,RFP,Rental of Centrifuge Equipment for the Hydrothermal Liquefaction (HTL) Plant at Annacis Island Wastewater Treatment Plant (AIWWTP),2023-08-03,DRYCAKE,,No,2023,True,False,not_awarded,False,False,,RFP,DRYCAKE
23-148,RFP,Rental of Centrifuge Equipment for the Hydrothermal Liquefaction (HTL) Plant at Annacis Island Wastewater Treatment Plant (AIWWTP),2023-08-03,ANDRITZ SEPARATION TECHNOLOGIES INC.,,No,2023,True,False,not_awarded,False,False,,RFP,ANDRITZ SEPARATION TECHNOLOGIES INC.
22-177,RFP,Group Insurance Benefits - Metro Vancouver,2023-08-04,Desjardins Financial Security Life Assurance Company,"$ 13,287,000.00",Yes,2023,False,True,vendor_specific,False,True,13287000.0,RFP,Desjardins Financial Security Life Assurance Company
22-177,RFP,Group Insurance Benefits - Metro Vancouver,2023-08-04,Canada Life,,No,2023,True,False,not_awarded,False,False,,RFP,Canada Life
22-177,RFP,Group Insurance Benefits - Metro Vancouver,2023-08-04,Pacific Blue Cross,,No,2023,True,False,not_awarded,False,False,,RFP,Pacific Blue Cross
22-177,RFP,Group Insurance Benefits - Metro Vancouver,2023-08-04,iA Financial Group,,No,2023,True,False,not_awarded,False,False,,RFP,iA Financial Group
22-177,RFP,Group Insurance Benefits - Metro Vancouver,2023-08-04,Manulife Financial,,No,2023,True,False,not_awarded,False,False,,RFP,Manulife Financial
22-177,RFP,Group Insurance Benefits - Metro Vancouver,2023-08-04,Industrial Alliance Insurance & Financial Services Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,Industrial Alliance Insurance & Financial Services Inc.
22-177,RFP,Group Insurance Benefits - Metro Vancouver,2023-08-04,AIG Insurance Company of Canada,,No,2023,True,False,not_awarded,False,False,,RFP,AIG Insurance Company of Canada
22-177,RFP,Group Insurance Benefits - Metro Vancouver,2023-08-04,Sun Life Assurance Company of Canada,,No,2023,True,False,not_awarded,False,False,,RFP,Sun Life Assurance Company of Canada
23-280,SS/NOIC,ABB Energy Industry Care Agreement; Operational Efficiency,2023-08-04,ABB Inc.,"$ 1,497,330.00",Yes,2023,False,True,vendor_specific,False,True,1497330.0,SS/NOIC,ABB Inc.
23-080,RFP,Grouse Mountain Regional Park Trailhead Improvements Construction,2023-08-10,Rust Investments Ltd.,"$ 804,996.81",Yes,2023,False,True,vendor_specific,False,True,804996.81,RFP,Rust Investments Ltd.
23-080,RFP,Grouse Mountain Regional Park Trailhead Improvements Construction,2023-08-10,New Rhodes Construction Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,New Rhodes Construction Inc.
23-080,RFP,Grouse Mountain Regional Park Trailhead Improvements Construction,2023-08-10,GPM CIVIL CONTRACTING INC,,No,2023,True,False,not_awarded,False,False,,RFP,GPM CIVIL CONTRACTING INC
23-080,RFP,Grouse Mountain Regional Park Trailhead Improvements Construction,2023-08-10,Cedar Crest Lands (BC) Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,Cedar Crest Lands (BC) Ltd.
23-080,RFP,Grouse Mountain Regional Park Trailhead Improvements Construction,2023-08-10,Lafarge Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,Lafarge Canada Inc.
23-036,RFP,Engineering Consulting Services for Little River Loop Boardwalk Replacement,2023-08-11,Parsons Inc.,"$ 248,978.00",Yes,2023,False,True,vendor_specific,False,True,248978.0,RFP,Parsons Inc.
23-036,RFP,Engineering Consulting Services for Little River Loop Boardwalk Replacement,2023-08-11,RAM Engineering Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,RAM Engineering Ltd.
23-036,RFP,Engineering Consulting Services for Little River Loop Boardwalk Replacement,2023-08-11,Dillon Consulting Limited,,No,2023,True,False,not_awarded,False,False,,RFP,Dillon Consulting Limited
23-036,RFP,Engineering Consulting Services for Little River Loop Boardwalk Replacement,2023-08-11,R.F. Binnie & Associates Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,R.F. Binnie & Associates Ltd.
23-036,RFP,Engineering Consulting Services for Little River Loop Boardwalk Replacement,2023-08-11,ISL Engineering & Land Services,,No,2023,True,False,not_awarded,False,False,,RFP,ISL Engineering & Land Services
23-036,RFP,Engineering Consulting Services for Little River Loop Boardwalk Replacement,2023-08-11,Morrison Hershfield Limited,,No,2023,True,False,not_awarded,False,False,,RFP,Morrison Hershfield Limited
23-242,RFP-MA,Capital Project Impact Mitigation Framework,2023-08-11,KPMG LLP,"$ 120,400.00",Yes,2023,False,True,vendor_specific,False,True,120400.0,RFP-MA,KPMG LLP
23-071,ITT,Construction for North Shore Recycling Depot Improvement,2023-08-14,Lafarge Canada Inc.,"$ 347,540.00",Yes,2023,False,True,vendor_specific,False,True,347540.0,ITT,Lafarge Canada Inc.
